brisque_rtp-ml,brisque_gt,timestamp,file,dataset
46.2,48.1532,1717509275,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
44.6,49.55206,1717509277,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
45.93,48.96347,1717509278,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.39,49.11174,1717509279,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
59.7,49.13465,1717509280,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
76.02,81.49416,1717509281,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
78.32,80.8133,1717509282,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
76.4,80.63425,1717509283,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
78.24,79.70891,1717509284,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
76.47,80.97874,1717509285,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
75.17,79.86753,1717509286,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
74.59,80.06896,1717509287,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
71.69,82.20667,1717509288,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
77.91,79.81132,1717509289,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
77.35,79.34401,1717509290,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
76.12,79.09184,1717509291,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
77.12,80.15318,1717509292,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
74.96,78.65704,1717509293,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
76.29,73.82724,1717509294,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
74.62,72.3697,1717509295,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
74.05,72.15345,1717509296,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
69.1,71.84467,1717509297,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
72.57,71.95336,1717509298,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
66.01,71.90269,1717509299,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
65.39,71.46439,1717509300,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
58.35,50.44996,1717509301,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
50.96,49.87758,1717509302,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
50.74,48.9174,1717509303,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
50.5,48.65007,1717509304,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
49.16,48.33067,1717509305,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
50.86,48.91555,1717509306,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
50.66,48.32104,1717509307,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
49.59,48.3837,1717509308,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
48.88,48.90428,1717509309,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
49.17,49.0026,1717509310,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
48.93,48.66901,1717509311,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
48.84,46.94371,1717509312,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
48.62,46.56373,1717509314,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
48.35,46.16953,1717509315,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.52,46.13207,1717509316,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.78,45.78718,1717509317,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.93,45.42626,1717509318,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.95,43.81213,1717509319,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
48.06,43.97611,1717509320,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.83,43.43011,1717509321,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.79,43.52037,1717509322,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.85,43.32539,1717509323,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.11,45.22339,1717509324,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.86,44.64561,1717509325,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.58,43.90134,1717509326,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
48.15,43.86721,1717509327,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.4,43.28099,1717509328,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.9,44.07664,1717509329,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.44,44.07852,1717509330,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.67,44.62574,1717509331,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
48.16,45.02754,1717509332,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
48.58,45.02981,1717509333,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
48.53,45.11043,1717509334,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
48.27,43.08355,1717509335,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.24,44.42621,1717509336,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.3,45.01057,1717509337,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
49.32,45.20306,1717509338,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
48.52,44.82809,1717509339,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
